Statistics																														
Date	Statistics_Open_Interest_Total	Statistics_Reportable_Positions_Net	Statistics_Reportable_Positions_Long	Statistics_Reportable_Positions_Short	Statistics_Prod_Merc_Positions_Total	Statistics_Prod_Merc_Positions_Net	Statistics_Prod_Merc_Positions_Long	Statistics_Prod_Merc_Positions_Short	Statistics_Swap_Positions_Total	Statistics_Swap_Positions_Net	Statistics_Swap_Positions_Long	Statistics_Swap_Positions_Short	Statistics_Swap_Positions_Spread	Statistics_M_Money_Positions_Total	Statistics_M_Money_Positions_Net	Statistics_M_Money_Positions_Long	Statistics_M_Money_Positions_Short	Statistics_M_Money_Positions_Spread	Statistics_Other_Rept_Positions_Total	Statistics_Other_Rept_Positions_Net	Statistics_Other_Rept_Positions_Long	Statistics_Other_Rept_Positions_Short	Statistics_Other_Rept_Positions_Spread	Statistics_NonRept_Positions_Total	Statistics_NonRept_Positions_Net	Statistics_NonRept_Positions_Long	Statistics_NonRept_Positions_Short	binShort	binLong	binNeut
28.06.2016	397489	-4389	351440	355829	167414	-17150	75132	92282	123762	82589	94647	12058	17057	221912	-84974	53761	138735	29416	120369	15146	54088	38942	27339	87709	4389	46049	41660	1	0	0
05.07.2016	431701	-1839	386447	388286	182523	-3463	89530	92993	124773	85268	96807	11539	16427	246494	-106232	53145	159377	33972	134903	22588	60925	38337	35641	88669	1839	45254	43415	0	0	1
12.07.2016	453533	-6317	406257	412574	182220	-302	90959	91261	119358	84619	96478	11859	11021	267122	-118340	55818	174158	37146	155283	27706	68154	40448	46681	88235	6317	47276	40959	0	0	1
19.07.2016	465177	-6850	415671	422521	184898	2428	93663	91235	113377	82843	93172	10329	9876	277111	-121448	57629	179077	40405	165141	29327	73542	44215	47384	92162	6850	49506	42656	0	0	1
26.07.2016	471210	-7338	420627	427965	176021	8471	92246	83775	110137	87200	92925	5725	11487	297154	-131142	59057	190199	47898	156387	28133	67506	39373	49508	93828	7338	50583	43245	0	0	1
02.08.2016	488242	-7748	436044	443792	189034	16644	102839	86195	101726	74384	79640	5256	16830	306669	-130471	61650	192121	52898	162645	31695	72153	40458	50034	96648	7748	52198	44450	0	0	1
09.08.2016	451314	-9893	397113	407006	172337	5763	89050	83287	94129	72565	78478	5913	9738	292649	-120312	62348	182660	47641	147388	32091	69621	37530	40237	98509	9893	54201	44308	0	0	1
16.08.2016	440857	-6619	389326	395945	164206	-1890	81158	83048	95177	70233	78524	8291	8362	278727	-106956	63985	170941	43801	150324	31994	68822	36828	44674	96443	6619	51531	44912	0	0	1
23.08.2016	451533	-9181	398541	407722	171542	-5574	82984	88558	94604	70577	79194	8617	6793	288731	-105933	68900	174833	44998	153223	31749	69300	37551	46372	96803	9181	52992	43811	0	0	1
30.08.2016	439470	-6055	389869	395924	163032	19822	91427	71605	91557	66310	75758	9448	6351	301551	-123338	68659	191997	40895	143626	31151	67998	36847	38781	93147	6055	49601	43546	0	1	0
06.09.2016	451070	-7248	401107	408355	163900	24042	93971	69929	89770	68828	76082	7254	6434	320394	-137451	71296	208747	40351	146674	37333	71034	33701	41939	92678	7248	49963	42715	0	1	0
13.09.2016	459288	-7651	410710	418361	173502	14078	93790	79712	94626	70844	77670	6826	10130	316249	-129643	71020	200663	44566	147331	37070	70867	33797	42667	89505	7651	48578	40927	0	1	0
20.09.2016	460079	-7131	410959	418090	178470	17476	97973	80497	93529	70068	76724	6656	10149	319586	-130562	72280	202842	44464	142491	35887	69009	33122	40360	91109	7131	49120	41989	0	0	1
27.09.2016	465882	-7588	415231	422819	181012	19960	100486	80526	91593	66363	73613	7250	10730	325013	-134573	72755	207328	44930	145579	40662	73524	32862	39193	93714	7588	50651	43063	0	0	1
04.10.2016	477960	-11060	424605	435665	180184	32628	106406	73778	90850	69632	75282	5650	9918	339933	-155196	70329	225525	44079	153372	41876	76657	34781	41934	95650	11060	53355	42295	0	0	1
11.10.2016	480709	-11273	428492	439765	179250	21222	100236	79014	86211	60042	67618	7576	11017	328350	-137243	71202	208445	48703	163745	44706	78735	34029	50981	93161	11273	52217	40944	0	0	1
18.10.2016	476586	-7278	426642	433920	183392	-3670	89861	93531	87703	59496	67523	8027	12153	316943	-100865	85235	186100	45608	161341	37761	72840	35079	53422	92610	7278	49944	42666	0	0	1
25.10.2016	497116	-8401	446045	454446	197003	13851	105427	91576	91320	64460	71892	7432	11996	328016	-124421	78010	202431	47575	168736	37709	75300	37591	55845	93741	8401	51071	42670	0	0	1
01.11.2016	495525	-10059	443574	453633	196962	-2314	97324	99638	94425	67634	73860	6226	14339	312617	-108578	80479	189057	43081	172559	33199	71267	38068	63224	93843	10059	51951	41892	0	0	1
08.11.2016	496516	-8450	444969	453419	216581	-2677	106952	109629	95707	73104	79154	6050	10503	312749	-110926	80327	191253	41169	164794	32049	69979	37930	56885	94644	8450	51547	43097	0	0	1
15.11.2016	512485	-9450	458145	467595	216034	7484	111759	104275	97976	76328	80759	4431	12786	315078	-131867	69457	201324	44297	177176	38605	76694	38089	62393	99230	9450	54340	44890	0	1	0
22.11.2016	503117	-8067	451020	459087	196448	-6396	95026	101422	100200	70989	78392	7403	14405	308078	-111108	79131	190239	38708	182315	38448	75405	36957	69953	96127	8067	52097	44030	0	0	1
29.11.2016	444341	-1851	398224	400075	140573	13905	77239	63334	97588	76088	82479	6391	8718	308711	-121929	77729	199658	31324	156856	30085	66206	36121	54529	90383	1851	46117	44266	0	1	0
06.12.2016	436214	-4921	388561	393482	138926	16138	77532	61394	95457	70303	78071	7768	9618	301163	-124098	75214	199312	26637	159558	32736	70805	38069	50684	90385	4921	47653	42732	0	1	0
13.12.2016	443306	-4699	397294	401993	149385	-4185	72600	76785	99745	69757	76784	7027	15934	302678	-102068	85011	187079	30588	150423	31797	65843	34046	50534	87325	4699	46012	41313	0	1	0
20.12.2016	447386	-4319	399475	403794	147276	5504	76390	70886	99336	73795	79014	5219	15103	303346	-113534	79123	192657	31566	155931	29916	67568	37652	50711	91503	4319	47911	43592	0	1	0
27.12.2016	446777	-8254	398445	406699	153307	2543	77925	75382	97458	72999	77810	4811	14837	304779	-119665	77028	196693	31058	151785	35869	67867	31998	51920	88410	8254	48332	40078	0	0	1
03.01.2017	457848	-10149	406495	416644	158873	-7175	75849	83024	98916	69470	77396	7926	13594	311229	-114619	82186	196805	32238	154709	42175	71652	29477	53580	92557	10149	51353	41204	0	0	1
10.01.2017	463755	-3789	416874	420663	169074	-32264	68405	100669	110419	75661	87160	11499	11760	297029	-96583	83253	179836	33940	156338	49397	73379	23982	58977	89973	3789	46881	43092	0	0	1
17.01.2017	480997	-4820	434998	439818	194249	-37575	78337	115912	116210	84464	94510	10046	11654	300757	-97245	83357	180602	36798	159280	45536	74474	28938	55868	87178	4820	45999	41179	0	1	0
24.01.2017	477653	-3312	432719	436031	188540	-34504	77018	111522	116922	89450	96920	7470	12532	310137	-100372	81604	181976	46557	147026	42114	71052	28938	47036	86556	3312	44934	41622	0	1	0
31.01.2017	494355	-3574	448511	452085	195971	-27551	84210	111761	121493	88051	93828	5777	21888	311097	-107726	75687	183413	51997	149804	43652	72555	28903	48346	88114	3574	45844	42270	0	1	0
07.02.2017	476111	-4292	431070	435362	183345	-48025	67660	115685	125908	95632	101687	6055	18166	302474	-91818	82132	173950	46392	143075	39919	67961	28042	47072	85790	4292	45041	40749	0	1	0
14.02.2017	468083	-1490	423921	425411	187003	-78061	54471	132532	132284	99614	108078	8464	15742	279728	-48122	93892	142014	43822	148632	25079	65795	40716	42121	86834	1490	44162	42672	0	0	1
21.02.2017	452102	-2036	407711	409747	179165	-87341	45912	133253	129247	93632	103485	9853	15909	262624	-37551	95305	132856	34463	155170	29224	71757	42533	40880	86746	2036	44391	42355	0	0	1
28.02.2017	400986	-3186	359203	362389	151165	-64057	43554	107611	108512	84387	91803	7416	9293	255326	-59233	84975	144208	26143	140111	35717	72393	36676	31042	80380	3186	41783	38597	0	0	1
07.03.2017	415912	-666	376583	377249	165404	-59282	53061	112343	113244	85098	94078	8980	10186	258465	-65521	83486	149007	25972	146039	39039	75278	36239	34522	77992	666	39329	38663	0	0	1
14.03.2017	453186	-3983	410014	413997	175128	-31330	71899	103229	114058	85089	92588	7499	13971	291618	-110092	75558	185650	30410	159846	52350	86608	34258	38980	82361	3983	43172	39189	0	1	0
21.03.2017	486477	-4344	442460	446804	174814	-18942	77936	96878	118024	87413	93347	5934	18743	321600	-133166	75377	208543	37680	173080	60351	94054	33703	45323	83690	4344	44017	39673	0	1	0
28.03.2017	507879	-4281	461545	465826	176094	-5556	85269	90825	120519	89980	94990	5010	20519	337457	-144878	73161	218039	46257	175623	56173	90447	34274	50902	88387	4281	46334	42053	0	1	0
04.04.2017	513555	-5776	464564	470340	183310	-11718	85796	97514	117085	92873	97781	4908	14396	345037	-147121	72374	219495	53168	172725	60190	91866	31676	49183	92206	5776	48991	43215	0	1	0
11.04.2017	507288	-2708	459825	462533	198624	-12586	93019	105605	113609	95163	99372	4209	10028	341000	-140835	75973	216808	48219	166119	55550	88455	32905	44759	92218	2708	47463	44755	0	1	0
18.04.2017	512255	-6000	463626	469626	214021	1457	107739	106282	114735	95425	100619	5194	8922	346282	-154345	73369	227714	45199	166114	51463	89799	38336	37979	91258	6000	48629	42629	0	0	1
25.04.2017	497823	-7502	448923	456425	194624	31000	112812	81812	112429	91534	98251	6717	7461	359055	-171269	73533	244802	40720	151481	41233	76568	35335	39578	90298	7502	48900	41398	0	1	0
02.05.2017	438524	-6793	394070	400863	142419	-8701	66859	75560	112820	86893	95164	8271	9385	318248	-123214	78848	202062	37338	136933	38229	68686	30457	37790	82115	6793	44454	37661	0	0	1
09.05.2017	423436	-3861	380329	384190	136132	-17730	59201	76931	108889	90162	95646	5484	7759	308993	-113819	83693	197512	27788	134645	37526	65929	28403	40313	82353	3861	43107	39246	0	1	0
16.05.2017	447119	-6230	402897	409127	133731	-6479	63626	70105	113915	89649	96222	6573	11120	332354	-130695	84377	215072	32905	145669	41295	72317	31022	42330	82214	6230	44222	37992	0	1	0
23.05.2017	457189	-7647	411229	418876	128773	-16777	55998	72775	110131	85819	91123	5304	13704	341727	-120701	88387	209088	44252	144247	44012	70494	26482	47271	84273	7647	45960	38313	0	1	0
30.05.2017	468113	-3979	423168	427147	147338	-7630	69854	77484	111465	87386	92953	5567	12945	342206	-121605	88316	209921	43969	144210	37870	66949	29079	48182	85911	3979	44945	40966	0	1	0
06.06.2017	475391	-6786	431020	437806	158256	-13590	72333	85923	109261	83394	88806	5412	15043	345865	-112413	90540	202953	52372	141602	35823	65499	29676	46427	81956	6786	44371	37585	0	0	1
13.06.2017	446411	-1956	405166	407122	132616	-28880	51868	80748	112476	87440	93077	5637	13762	324267	-85706	93001	178707	52559	133669	25190	57960	32770	42939	80534	1956	41245	39289	0	0	1
20.06.2017	445204	660	405266	404606	155972	-70612	42680	113292	108199	82355	88150	5795	14254	288100	-11789	113999	125788	48313	147602	706	50438	49732	47432	80536	-660	39938	40598	1	0	0
27.06.2017	404793	747	366243	365496	150372	-83532	33420	116952	116198	93458	99490	6032	10676	248040	-10437	101325	111762	34953	130093	1258	44972	43714	41407	77847	-747	38550	39297	0	0	1
03.07.2017	410738	10409	375645	365236	163678	-89784	36947	126731	116922	85436	93264	7828	15830	248587	23997	119415	95418	33754	130898	-9240	45223	54463	31212	80595	-10409	35093	45502	1	0	0
11.07.2017	436850	597	396948	396351	192121	-115869	38126	153995	128289	89028	98791	9763	19735	237914	53971	130320	76349	31245	147080	-26533	41816	68349	36915	80401	-597	39902	40499	1	0	0
18.07.2017	437388	-2889	394048	396937	187083	-105611	40736	146347	126463	80540	90798	10258	25407	232499	46757	121682	74925	35892	147245	-24575	43137	67712	36396	83791	2889	43340	40451	1	0	0
25.07.2017	426512	4247	388812	384565	185073	-96577	44248	140825	128323	80058	90923	10865	26535	214213	33051	106107	73056	35050	142957	-12285	44723	57008	41226	79647	-4247	37700	41947	1	0	0
01.08.2017	442403	5988	403534	397546	182114	-89012	46551	135563	129022	79487	87588	8101	33333	227206	14739	101906	87167	38133	147981	774	52732	51958	43291	83726	-5988	38869	44857	0	0	1
08.08.2017	445752	4551	407225	402674	179976	-78218	50879	129097	124005	86722	94430	7708	21867	245354	-12054	95932	107986	41436	150734	8101	56154	48053	46527	81605	-4551	38527	43078	0	0	1
15.08.2017	449958	6006	409504	403498	186425	-70053	58186	128239	111359	88887	94257	5370	11732	256407	-36337	89180	125517	41710	157812	23509	66882	43373	47557	86914	-6006	40454	46460	0	0	1
22.08.2017	473499	4558	432070	427512	197142	-51334	72904	124238	104020	83492	89017	5525	9478	285222	-68790	85507	154297	45418	169737	41190	81181	39991	48565	87416	-4558	41429	45987	0	0	1
29.08.2017	440230	2977	399065	396088	183376	-42070	70653	112723	98582	78280	83075	4795	10712	287695	-70126	90077	160203	37415	138385	36893	68145	31252	38988	85307	-2977	41165	44142	0	0	1
05.09.2017	438652	3580	396783	393203	165536	-35178	65179	100357	100190	74789	80769	5980	13441	299242	-79685	93002	172687	33553	139305	43654	72120	28466	38719	87318	-3580	41869	45449	0	0	1
12.09.2017	435529	2853	393998	391145	163581	-39975	61803	101778	97362	73970	79563	5593	12206	296001	-76704	92865	169569	33567	142206	45562	73774	28212	40220	85915	-2853	41531	44384	0	0	1
19.09.2017	430599	3962	389713	385751	156226	-41014	57606	98620	96877	75355	79848	4493	12536	294802	-73941	97221	171162	26419	145797	43562	73276	29714	42807	85734	-3962	40886	44848	0	0	1
26.09.2017	426974	6329	388332	382003	161389	-44133	58628	102761	97206	73839	79419	5580	12207	287927	-55714	101095	156809	30023	139953	32337	65330	32993	41630	83613	-6329	38642	44971	0	0	1
03.10.2017	439038	8172	401582	393410	184364	-43914	70225	114139	98563	71228	78442	7214	12907	289938	-49284	104022	153306	32610	133391	30142	60157	30015	43219	83084	-8172	37456	45628	0	0	1
10.10.2017	460988	7802	421300	413498	186123	-37045	74539	111584	99860	68902	76556	7654	15650	306215	-67427	99793	167220	39202	139376	43372	67188	23816	48372	87178	-7802	39688	47490	0	0	1
17.10.2017	478128	6093	437050	430957	183732	-31094	76319	107413	103346	68801	76403	7602	19341	313636	-78815	94296	173111	46229	150084	47201	72823	25622	51639	88249	-6093	41078	47171	0	0	1
24.10.2017	514130	6171	472487	466316	204019	-32605	85707	118312	108703	71679	77613	5934	25156	330305	-83548	95183	178731	56391	157414	50645	75622	24977	56815	89457	-6171	41643	47814	0	0	1
31.10.2017	564126	-1043	516134	517177	224641	-3491	110575	114066	119346	73691	79566	5875	33905	353842	-115567	86565	202132	65145	173928	44324	77874	33550	62504	94941	1043	47992	46949	0	1	0
07.11.2017	569478	2558	524261	521703	249548	-1298	124125	125423	112253	82902	87272	4370	20611	359247	-128121	84421	212542	62284	176250	49075	79777	30702	65771	92992	-2558	45217	47775	0	1	0
14.11.2017	560679	2841	516600	513759	234083	-18949	107567	126516	116975	88561	92956	4395	19624	353970	-113264	89295	202559	62116	176173	46493	77624	31131	67418	90999	-2841	44079	46920	0	1	0
21.11.2017	546635	2471	502443	499972	227205	-22899	102153	125052	115072	92195	95380	3185	16507	352259	-119046	90116	209162	52981	175425	52221	82340	30119	62966	90855	-2471	44192	46663	0	1	0
28.11.2017	518578	723	473225	472502	209238	-4990	102124	107114	109253	88002	92974	4972	11307	359197	-126466	90972	217438	50787	157087	44177	76203	32026	48858	91429	-723	45353	46076	0	1	0
05.12.2017	495710	2973	454847	451874	186620	-14264	86178	100442	113467	91308	94620	3312	15535	354531	-122379	90722	213101	50708	146363	48308	77587	29279	39497	84699	-2973	40863	43836	0	1	0
12.12.2017	529532	513	485022	484509	194818	10818	102818	92000	115846	89558	94784	5226	15836	386853	-165412	81764	247176	57913	159489	65549	93131	27582	38776	89533	-513	44510	45023	0	1	0
19.12.2017	537280	401	493134	492733	201295	9649	105472	95823	117967	89436	94206	4770	18991	387971	-164098	83667	247765	56539	161643	65414	92798	27384	41461	88693	-401	44146	44547	0	1	0
26.12.2017	523486	1568	479772	478204	203885	6771	105328	98557	115613	89564	94658	5094	15861	371245	-152060	81533	233593	56119	151643	57293	82663	25370	43610	88996	-1568	43714	45282	0	1	0
02.01.2018	523985	1649	481126	479477	206523	-5107	100708	105815	119173	89994	94837	4843	19493	360870	-135523	83747	219270	57853	151039	52285	78836	26551	45652	87367	-1649	42859	44508	0	1	0
09.01.2018	528175	1907	484679	482772	205343	-8187	98578	106765	119323	88472	93394	4922	21007	363091	-135516	86427	221943	54721	156298	57138	82884	25746	47668	88899	-1907	43496	45403	0	1	0
16.01.2018	558257	1057	516293	515236	218159	4063	111111	107048	130991	92158	97568	5410	28013	372454	-148969	83567	232536	56351	172743	53805	86865	33060	52818	84985	-1057	41964	43021	0	1	0
23.01.2018	572693	1613	530036	528423	218049	3165	110607	107442	132810	94419	99589	5170	28051	376084	-149777	80414	230191	65479	179516	53806	87426	33620	58470	86927	-1613	42657	44270	0	1	0
30.01.2018	543155	2254	500913	498659	194001	-48923	72539	121462	138559	98471	102502	4031	32026	333518	-91532	89527	181059	62932	176640	44238	79491	35253	61896	86738	-2254	42242	44496	0	1	0
06.02.2018	536754	-408	494134	494542	195668	-48418	73625	122043	134754	96718	100550	3832	30372	325212	-78256	91062	169318	64832	174770	29548	70625	41077	63068	84832	408	42620	42212	0	1	0
13.02.2018	505464	6129	464754	458625	186635	-71281	57677	128958	127442	93845	97385	3540	26517	286395	-46973	92337	139310	54748	177541	30538	71989	41451	64101	87549	-6129	40710	46839	0	1	0
20.02.2018	493271	7957	454179	446222	188058	-60548	63755	124303	119770	95963	99337	3374	17059	291411	-60157	90928	151085	49398	174991	32699	73988	41289	59714	86141	-7957	39092	47049	0	1	0
27.02.2018	442255	7446	407857	400411	174364	-69422	52471	121893	117916	92808	98133	5325	14458	263542	-54560	85174	139734	38634	151453	38620	71086	32466	47901	76242	-7446	34398	41844	0	1	0
06.03.2018	465424	4938	430090	425152	195622	-111144	42239	153383	127495	107275	111243	3968	12284	243004	-21600	89335	110935	42734	173480	30407	71632	41225	60623	75606	-4938	35334	40272	0	0	1
13.03.2018	495276	5984	458690	452706	204528	-109810	47359	157169	133851	114166	117940	3774	12137	243892	-27366	82729	110095	51068	188780	28994	70317	41323	77140	79156	-5984	36586	42570	0	0	1
20.03.2018	473974	8286	440221	431935	196970	-93252	51859	145111	129061	105939	110227	4288	14546	243062	-56292	66581	122873	53608	175567	51891	84058	32167	59342	75792	-8286	33753	42039	0	1	0
27.03.2018	498346	11011	467439	456428	203613	-80497	61558	142055	133591	106724	108860	2136	22595	268508	-78107	65297	143404	59807	180492	62891	94061	31170	55261	72825	-11011	30907	41918	0	1	0
03.04.2018	498866	8269	465601	457332	208810	-78870	64970	143840	128671	103729	104776	1047	22848	269046	-71963	68340	140303	60403	175810	55373	86919	31546	57345	74799	-8269	33265	41534	0	1	0
10.04.2018	467838	10690	435696	425006	198741	-99417	49662	149079	122123	104748	106117	1369	14637	249493	-44861	76231	121092	52170	168264	50220	81605	31385	55274	74974	-10690	32142	42832	0	0	1
17.04.2018	471652	11870	440393	428523	206028	-99354	53337	152691	126960	109313	110680	1367	14913	248031	-46960	75573	122533	49925	168405	48871	81311	32440	54654	74388	-11870	31259	43129	0	1	0
24.04.2018	471237	11178	441840	430662	201080	-90710	55185	145895	127914	105479	107104	1625	19185	254720	-50507	75779	126286	52655	165347	46916	80331	33415	51601	69972	-11178	29397	40575	0	1	0
01.05.2018	463257	11673	434296	422623	202897	-120587	41155	161742	128334	108944	110698	1754	15882	257089	-18940	94494	113434	49161	157519	42256	76869	34613	46037	69595	-11673	28961	40634	0	0	1
08.05.2018	469079	11414	439358	427944	202375	-129387	36494	165881	131830	109298	112670	3372	15788	251860	12585	105653	93068	53139	156980	18918	60284	41366	55330	70856	-11414	29721	41135	0	0	1
15.05.2018	470717	11116	440905	429789	206002	-120908	42547	163455	133135	109380	113152	3772	16211	244494	-1569	99806	101375	43313	167304	24213	65641	41428	60235	70740	-11116	29812	40928	0	0	1
22.05.2018	498553	10230	465597	455367	227427	-133899	46764	180663	129370	102280	107289	5009	17072	252113	8819	101131	92312	58670	171776	33030	70135	37105	64536	76142	-10230	32956	43186	0	0	1
29.05.2018	547256	13254	514401	501147	256111	-132425	61843	194268	138945	100550	107027	6477	25441	269273	25826	111739	85913	71621	181473	19303	64046	44743	72684	78964	-13254	32855	46109	0	0	1
05.06.2018	547074	12219	513940	501721	250664	-122394	64135	186529	145020	94417	102490	8073	34457	262881	23058	105207	82149	75525	177103	17138	62115	44977	70011	78487	-12219	33134	45353	0	0	1
12.06.2018	540509	13767	506473	492706	246238	-132480	56879	189359	138265	96531	102886	6355	29024	268184	25135	108373	83238	76573	175282	24581	67125	42544	65613	81839	-13767	34036	47803	0	0	1
19.06.2018	492425	17410	465059	447649	213473	-109907	51783	161690	146636	108916	113285	4369	28982	258490	-4861	92839	97700	67951	154073	23262	67116	43854	43103	72142	-17410	27366	44776	0	0	1
26.06.2018	478880	17888	452323	434435	214519	-113691	50414	164105	143943	115954	120065	4111	19767	256189	-12068	90338	102406	63445	140716	27693	60115	32422	48179	71002	-17888	26557	44445	0	1	0
03.07.2018	473605	18530	446508	427978	206232	-116026	45103	161129	138361	103768	107863	4095	26403	246632	-1251	89756	91007	65869	143612	32039	64137	32098	47377	72724	-18530	27097	45627	0	0	1
10.07.2018	470071	18873	442641	423768	208330	-114910	46710	161620	141199	102704	106954	4250	29995	239757	-1266	87306	88572	63879	141317	32345	65865	33520	41932	73733	-18873	27430	46303	0	0	1
17.07.2018	471315	16054	442208	426154	219168	-120330	49419	169749	135990	97825	101895	4070	30025	237238	566	88328	87762	61148	143539	37993	70139	32146	41254	74268	-16054	29107	45161	0	0	1
24.07.2018	452132	15604	423599	407995	215523	-121817	46853	168670	132855	87944	92495	4551	35809	230920	22603	97498	74895	58527	127617	26874	62074	35200	30343	72670	-15604	28533	44137	0	0	1
31.07.2018	490809	15099	457461	442362	230048	-146494	41777	188271	139635	86565	90730	4165	44740	258721	51277	114525	63248	80948	120386	23751	59396	35645	25345	81795	-15099	33348	48447	0	0	1
07.08.2018	497660	9351	458893	449542	246813	-161927	42443	204370	136078	84750	90999	6249	38830	261355	66351	128323	61972	71060	123887	20177	56826	36649	30412	86885	-9351	38767	48118	1	0	0
14.08.2018	492285	6536	453220	446684	235740	-161584	37078	198662	127243	85309	91326	6017	29900	266648	65226	130761	65535	70352	133505	17585	57287	39702	36516	84666	-6536	39065	45601	0	0	1
21.08.2018	493627	4498	452870	448372	232308	-156440	37934	194374	128330	81577	88256	6679	33395	263337	57447	124516	67069	71752	136528	21914	61425	39511	35592	86012	-4498	40757	45255	0	0	1
28.08.2018	456974	7645	418460	410815	229616	-145244	42186	187430	128924	88989	94347	5358	29219	234154	46098	107818	61720	64616	117031	17802	54559	36757	25715	84673	-7645	38514	46159	0	0	1
04.09.2018	446974	9841	412028	402187	203320	-139802	31759	171561	126690	89044	94407	5363	26920	235350	35997	102036	66039	67275	128488	24602	63459	38857	26172	79733	-9841	34946	44787	0	0	1
11.09.2018	454002	10243	420005	409762	200670	-128224	36223	164447	128793	92944	97481	4537	26775	238635	11575	91549	79974	67112	137682	33948	70765	36817	30100	78237	-10243	33997	44240	0	0	1
18.09.2018	472608	9321	437563	428242	201968	-118206	41881	160087	129393	90898	95542	4644	29207	249881	-8251	84887	93138	71856	144927	44880	75617	30737	38573	79411	-9321	35045	44366	0	0	1
25.09.2018	461262	10998	425630	414632	205186	-109938	47624	157562	120737	84376	88754	4378	27605	244228	227	89837	89610	64781	138208	36333	67512	31179	39517	82262	-10998	35632	46630	0	0	1
02.10.2018	475997	7500	440006	432506	220499	-109345	55577	164922	118236	81700	86164	4464	27608	251886	-11708	85923	97631	68332	145111	46853	75562	28709	40840	79482	-7500	35991	43491	0	0	1
09.10.2018	482033	8318	446260	437942	216002	-102050	56976	159026	122903	77439	83346	5907	33650	251007	-18098	81759	99857	69391	150150	51027	80039	29012	41099	79864	-8318	35773	44091	0	0	1
16.10.2018	488407	6598	451645	445047	211654	-105506	53074	158580	130840	79219	84962	5743	40135	253144	-16252	83934	100186	69024	148487	49137	77108	27971	43408	80122	-6598	36762	43360	1	0	0
23.10.2018	502850	6324	465050	458726	209811	-94903	57454	152357	135299	80899	86026	5127	44146	262871	-30023	78305	108328	76238	152439	50351	79909	29558	42972	81924	-6324	37800	44124	0	0	1
30.10.2018	554944	9162	514413	505251	217271	-77263	70004	147267	151108	78656	86098	7442	57568	294058	-47928	77026	124954	92078	159819	55697	83877	28180	47762	90224	-9162	40531	49693	0	0	1
06.11.2018	547913	7595	508438	500843	213493	-80307	66593	146900	148763	78043	86613	8570	53580	295278	-41965	79302	121267	94709	155865	51824	80048	28224	47593	86545	-7595	39475	47070	1	0	0
13.11.2018	493814	9818	458005	448187	193116	-89368	51874	141242	123537	77805	85701	7896	29940	277913	-28525	79385	107910	90618	149494	49906	78913	29007	41574	81436	-9818	35809	45627	1	0	0
20.11.2018	480959	7728	442063	434335	197255	-82917	57169	140086	116908	80806	90316	9510	17082	278685	-39642	79070	118712	80903	145852	49481	77810	28329	39713	85520	-7728	38896	46624	0	0	1
27.11.2018	457208	10285	419830	409545	199820	-58514	70653	129167	109195	84368	91116	6748	11331	283625	-38744	81196	119940	82489	109401	23175	49531	26356	33514	85041	-10285	37378	47663	0	0	1
04.12.2018	441686	10720	409467	398747	186346	-68060	59143	127203	107411	80872	86529	5657	15225	281340	-27025	86488	113513	81339	105549	24933	49739	24806	31004	75158	-10720	32219	42939	1	0	0
11.12.2018	430571	13309	400137	386828	171420	-68416	51502	119918	108368	80065	85603	5538	17227	277026	-22455	88293	110748	77985	104589	24115	49177	25062	30350	74177	-13309	30434	43743	1	0	0
18.12.2018	432837	10375	400073	389698	167198	-84506	41346	125852	108975	77287	83734	6447	18794	277748	-3612	99248	102860	75640	106817	21206	46712	25506	34599	75903	-10375	32764	43139	1	0	0
24.12.2018	427784	11961	395418	383457	171193	-75795	47699	123494	108331	77688	83908	6220	18203	270847	-18325	91602	109927	69318	107216	28393	50921	22528	33767	76693	-11961	32366	44327	1	0	0
31.12.2018	444401	7964	408132	400168	182682	-66190	58246	124436	106922	75308	81621	6313	18988	277406	-34302	86852	121154	69400	118298	33148	58421	25273	34604	80502	-7964	36269	44233	0	0	1
08.01.2019	442962	9793	408049	398256	166912	-75040	45936	120976	107954	73818	80321	6503	21130	286037	-16877	94762	111639	79636	110819	27892	52447	24555	33817	79619	-9793	34913	44706	1	0	0
15.01.2019	446492	11069	410778	399709	164090	-69134	47478	116612	105089	63156	69667	6511	28911	285559	-15708	95619	111327	78613	111746	32755	54011	21256	36479	82497	-11069	35714	46783	1	0	0
22.01.2019	450848	9441	415659	406218	156626	-70788	42919	113707	107834	60987	68147	7160	32527	291344	-8541	100089	108630	82625	112830	27783	51261	23478	38091	79819	-9441	35189	44630	1	0	0
29.01.2019	465545	8886	428499	419613	167503	-56607	55448	112055	113485	59730	66969	7239	39277	286671	-22440	92227	114667	79777	119282	28203	52684	24481	42117	82978	-8886	37046	45932	1	0	0
05.02.2019	467427	9483	429580	420097	170163	-68841	50661	119502	115705	59883	70933	11050	33722	287611	-6555	98294	104849	84468	116971	24996	50465	25469	41037	85177	-9483	37847	47330	1	0	0
12.02.2019	464700	10251	425326	415075	170296	-61730	54283	116013	113191	63133	73536	10403	29252	278494	-14320	92502	106822	79170	122124	23168	48709	25541	47874	88999	-10251	39374	49625	1	0	0
19.02.2019	478701	10005	437912	427907	181177	-45775	67701	113476	113351	74957	83436	8479	21436	294590	-47511	86823	134334	73433	131936	28334	55187	26853	49896	91583	-10005	40789	50794	0	0	1
