Statistics																														
Date	Statistics_Open_Interest_Total	Statistics_Reportable_Positions_Net	Statistics_Reportable_Positions_Long	Statistics_Reportable_Positions_Short	Statistics_Prod_Merc_Positions_Total	Statistics_Prod_Merc_Positions_Net	Statistics_Prod_Merc_Positions_Long	Statistics_Prod_Merc_Positions_Short	Statistics_Swap_Positions_Total	Statistics_Swap_Positions_Net	Statistics_Swap_Positions_Long	Statistics_Swap_Positions_Short	Statistics_Swap_Positions_Spread	Statistics_M_Money_Positions_Total	Statistics_M_Money_Positions_Net	Statistics_M_Money_Positions_Long	Statistics_M_Money_Positions_Short	Statistics_M_Money_Positions_Spread	Statistics_Other_Rept_Positions_Total	Statistics_Other_Rept_Positions_Net	Statistics_Other_Rept_Positions_Long	Statistics_Other_Rept_Positions_Short	Statistics_Other_Rept_Positions_Spread	Statistics_NonRept_Positions_Total	Statistics_NonRept_Positions_Net	Statistics_NonRept_Positions_Long	Statistics_NonRept_Positions_Short	binShort	binLong	binNeut
02.02.2016	407498	1343	366914	365571	144147	-32461	55843	88304	114123	89811	96602	6791	10730	221522	-49273	67378	116651	37493	145910	-6734	40308	47042	58560	82511	-1343	40584	41927	0	0	1
09.02.2016	445244	1618	402475	400857	161701	-8609	76546	85155	116459	91700	97631	5931	12897	248749	-83553	62022	145575	41152	164115	2080	53968	51888	58259	87156	-1618	42769	44387	0	0	1
16.02.2016	460077	1808	419318	417510	173920	-8192	82864	91056	116409	88984	94560	5576	16273	247298	-87387	62523	149910	34865	180819	8403	60989	52586	67244	83326	-1808	40759	42567	0	0	1
23.02.2016	442878	-1125	398433	399558	174604	5724	90164	84440	114640	86757	92467	5710	16463	248868	-100391	58886	159277	30705	164206	6785	61243	54458	48505	87765	1125	44445	43320	0	0	1
01.03.2016	437577	1544	395810	394266	161451	18787	90119	71332	107851	85106	90637	5531	11683	262435	-113311	55992	169303	37140	165939	10962	66662	55700	43577	85078	-1544	41767	43311	0	0	1
08.03.2016	429740	-419	389930	390349	160537	6155	83346	77191	110038	83173	90102	6929	13007	251285	-94285	59665	153950	37670	159060	4538	57458	52920	48682	79201	419	39810	39391	0	0	1
22.03.2016	434245	-1055	392683	393738	164489	-1951	81269	83220	117983	85785	92408	6623	18952	236934	-82063	57881	139944	39109	156635	-2826	50745	53571	52319	82069	1055	41562	40507	1	0	0
29.03.2016	432652	-3981	390042	394023	170470	-12354	79058	91412	120386	86285	93308	7023	20055	232880	-71935	61537	133472	37871	148909	-5977	44719	50696	53494	81239	3981	42610	38629	1	0	0
05.04.2016	438769	807	398811	398004	167765	-23829	71968	95797	124238	96154	98920	2766	22552	229537	-70394	61771	132165	35601	158832	-1124	49709	50833	58290	80723	-807	39958	40765	1	0	0
12.04.2016	476076	-4906	430895	435801	182256	4074	93165	89091	117933	96705	99371	2666	15896	264611	-115957	51280	167237	46094	177596	10272	62779	52507	62310	85456	4906	45181	40275	1	0	0
19.04.2016	448610	-6600	404879	411479	177255	-20647	78304	98951	123562	96078	99956	3878	19728	246137	-89658	56701	146359	43077	150921	7627	51435	43808	55678	80862	6600	43731	37131	1	0	0
26.04.2016	397145	1297	359111	357814	167128	-26918	70105	97023	117656	90398	95196	4798	17662	216397	-65810	61911	127721	26765	129126	3627	45281	41654	42191	77365	-1297	38034	39331	1	0	0
03.05.2016	391040	2106	352816	350710	163848	-29030	67409	96439	115130	91948	95667	3719	15744	216063	-71506	58706	130212	27145	129053	10694	51602	40908	36543	78554	-2106	38224	40330	1	0	0
10.05.2016	407702	-4418	365001	369419	166717	-19139	73789	92928	119481	85221	95713	10492	13276	228907	-89814	53828	143642	31437	136570	19314	58926	39612	38032	80984	4418	42701	38283	1	0	0
17.05.2016	396200	-5596	353233	358829	147176	-25326	60925	86251	124642	85851	96378	10527	17737	221195	-79134	54939	134073	32183	131420	13013	53362	40349	37709	80338	5596	42967	37371	1	0	0
24.05.2016	418296	-5028	375424	380452	169129	-11145	78992	90137	124632	84998	95622	10624	18386	227276	-99691	44402	144093	38781	134255	20810	55824	35014	43417	80716	5028	42872	37844	1	0	0
31.05.2016	415685	-4590	373105	377695	173901	-10379	81761	92140	120612	84383	93281	8898	18433	227961	-102453	44694	147147	36120	132781	23859	57824	33965	40992	80570	4590	42580	37990	1	0	0
07.06.2016	410803	-8619	363243	371862	192096	-44404	73846	118250	125388	84679	96316	11637	17435	209147	-58366	60165	118531	30451	122699	9472	47141	37669	37889	86501	8619	47560	38941	1	0	0
14.06.2016	419835	-3862	376717	380579	212513	-40337	86088	126425	122324	81179	92561	11382	18381	213273	-55130	63746	118876	30651	122902	10426	48038	37612	37252	82374	3862	43118	39256	1	0	0
21.06.2016	417107	-3938	373354	377292	201849	-29539	86155	115694	122166	76807	86266	9459	26441	216403	-77461	55248	132709	28446	127251	26255	62708	36453	28090	83568	3938	43753	39815	1	0	0
